step,energy,reward,has_clash
1,24.9801,2.62,0
2,22.9765,8.62,0
3,22.4382,2.64,0
4,22.4382,-2.3,1
5,22.4793,-0.36,0
6,25.7894,-0.38,0
7,25.4622,2.62,0
8,26.9491,-0.38,0
9,29.3153,-0.38,0
10,28.4016,2.62,0
11,30.2528,-0.38,0
12,30.242,2.62,0
13,29.8661,2.62,0
14,29.9233,-0.38,0
15,31.6034,-0.38,0
16,32.126,-0.4,0
17,34.7414,-0.4,0
18,34.0191,2.6,0
19,34.9666,-0.4,0
20,34.0536,2.6,0
21,34.4765,-0.4,0
22,33.8708,2.6,0
23,33.2481,2.6,0
24,35.0339,-0.4,0
25,36.8877,-0.4,0
26,37.2423,-0.4,0
27,38.1204,-0.4,0
28,39.0333,-0.4,0
29,38.156,2.6,0
30,38.036,2.6,0
31,38.823,-0.4,0
32,38.823,-0.4,0
33,340.1789,-0.4,0
34,162.154,8.6,0
35,162.154,-0.4,0
36,182.0443,-0.4,0
37,185.3431,-0.4,0
38,183.3219,8.6,0
39,185.2478,-0.4,0
40,185.5555,-0.4,0
41,186.0013,-0.4,0
42,185.1208,2.6,0
43,280.4582,-0.38,0
44,282.2624,-0.38,0
45,39.8984,8.62,0
46,39.0002,2.62,0
47,40.1773,-0.38,0
48,37.4385,8.62,0
49,85.9342,-0.4,0
50,84.1577,8.6,0
