episode,protein,stage,total_reward,final_energy,rmsd,steps,clashes,policy_loss,value_loss,entropy
1,1L2Y,1,147.5,149.4004,18.9375,50,1,0,0,0
2,1L2Y,1,114.9,34.4011,31.7201,50,4,0,0,0
3,1L2Y,1,-11.5,42.7713,16.7688,5,5,0,0,0
4,1L2Y,1,130.62,38.5863,25.4347,50,0,0,0,0
5,1L2Y,1,132.54,231.7475,18.3446,50,0,0,0,0
6,1L2Y,1,146.36,36.2592,17.2813,50,0,0,0,0
7,1L2Y,1,136.46,31.5986,20.4829,50,0,-0.0009,4.4636,8.1268
8,1L2Y,1,141.48,39.7165,19.4978,50,1,0,0,0
9,1L2Y,1,158.4,512.3185,11.1594,50,4,0,0,0
10,1L2Y,1,102.24,138.1245,18.8588,50,1,0,0,0
11,1L2Y,1,112.72,35.7997,23.6964,50,3,0,0,0
12,1L2Y,1,107.86,36.0084,16.684,50,0,-0.0037,4.9826,8.1268
13,1L2Y,1,126.52,394.5105,12.0963,50,1,0,0,0
14,1L2Y,1,93.14,248.003,17.2335,50,1,0,0,0
15,1L2Y,1,113.88,155.7942,22.6214,50,1,0,0,0
16,1L2Y,1,82.4,147.6781,15.4208,50,4,0,0,0
17,1L2Y,1,129.46,31.3647,7.5335,50,1,-0.005,3.9008,8.1267
18,1L2Y,1,89.6,39.1559,20.9179,50,1,0,0,0
19,1L2Y,1,82.84,212.875,14.2398,50,2,0,0,0
20,1L2Y,1,91.66,46.8754,21.2461,50,0,0,0,0
21,1L2Y,1,50.42,451.3184,18.4729,26,3,0,0,0
22,1L2Y,1,167.86,29.3928,18.851,50,2,-0.009,4.0026,8.1263
23,1L2Y,1,114.32,41.6239,21.067,50,0,0,0,0
24,1L2Y,1,119.14,34.7588,17.7169,50,0,0,0,0
25,1L2Y,1,154.68,29.8444,11.0943,50,0,0,0,0
26,1L2Y,1,150.38,34.1301,12.0764,50,3,0,0,0
27,1L2Y,1,157.34,42.0438,15.1298,50,0,-0.0098,4.1598,8.1258
28,1L2Y,1,141.88,138.7714,24.0399,50,2,0,0,0
29,1L2Y,1,113.26,39.7986,16.034,50,0,0,0,0
30,1L2Y,1,119.6,32.9313,20.0079,50,0,0,0,0
31,1L2Y,1,142.38,288.241,16.888,50,0,0,0,0
32,1L2Y,1,121.74,37.8173,13.8638,50,0,0,0,0
33,1L2Y,1,146.72,54.4145,27.3228,50,0,-0.0042,5.0995,8.1255
34,1L2Y,1,125.84,36.7788,14.2335,50,0,0,0,0
35,1L2Y,1,91.06,39.8978,11.2498,50,2,0,0,0
36,1L2Y,1,110.52,333.7335,10.5136,50,1,0,0,0
37,1L2Y,1,-11.84,42.23,14.0348,6,5,0,0,0
38,1L2Y,1,126.74,33.6836,18.1155,50,1,0,0,0
39,1L2Y,1,118.64,27.433,17.5021,50,0,0.0014,6.3714,8.1254
40,1L2Y,1,140.84,249.6961,16.0046,50,0,0,0,0
41,1L2Y,1,104.36,53.4114,14.1218,50,1,0,0,0
42,1L2Y,1,93.24,44.0204,15.9011,50,2,0,0,0
43,1L2Y,1,142.66,32.5765,17.921,50,0,0,0,0
44,1L2Y,1,136.84,31.4857,20.2206,50,0,-0.0039,4.998,8.126
45,1L2Y,1,79.46,60.2734,17.4338,50,2,0,0,0
46,1L2Y,1,96.94,80.4474,13.483,50,2,0,0,0
47,1L2Y,1,132.86,60.8108,9.796,50,0,0,0,0
48,1L2Y,1,169.28,95.267,17.7044,50,2,0,0,0
49,1L2Y,1,101.14,40.5836,15.7585,50,1,0.0023,7.4279,8.1258
50,1L2Y,1,132.48,28.9273,19.8833,50,2,0,0,0
51,1L2Y,1,20.08,346.5504,12.1355,24,5,0,0,0
52,1L2Y,1,130.9,33.435,10.3966,50,2,0,0,0
